;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
11;Lyon;Premiere Classe Lyon Centre - Gare Part Dieu;3.5;761;https://www.tripadvisor.fr/Hotel_Review-g187265-d481681-Reviews-Premiere_Classe_Lyon_Centre_Gare_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
12;Lyon;Okko Hotels Lyon Pont Lafayette;4.5;1426;https://www.tripadvisor.fr/Hotel_Review-g187265-d7274489-Reviews-OKKO_Hotels_Lyon_Pont_Lafayette-Lyon_Rhone_Auvergne_Rhone_Alpes.html
13;Lyon;Hotel des Celestins;4.5;1256;https://www.tripadvisor.fr/Hotel_Review-g187265-d801677-Reviews-Hotel_des_Celestins-Lyon_Rhone_Auvergne_Rhone_Alpes.html
14;Lyon;Novotel Lyon Confluence Hotel;4.0;1716;https://www.tripadvisor.fr/Hotel_Review-g187265-d2410921-Reviews-Novotel_Lyon_Confluence_Hotel-Lyon_Rhone_Auvergne_Rhone_Alpes.html
15;Lyon;Mob Hotel Lyon Confluence;4.0;353;https://www.tripadvisor.fr/Hotel_Review-g187265-d12778498-Reviews-Mob_Hotel_Lyon_Confluence-Lyon_Rhone_Auvergne_Rhone_Alpes.html
16;Lyon;Villa Florentine;4.5;1088;https://www.tripadvisor.fr/Hotel_Review-g187265-d551461-Reviews-Villa_Florentine-Lyon_Rhone_Auvergne_Rhone_Alpes.html
17;Lyon;Hotel Le Royal Lyon - MGallery Collection;4.0;1729;https://www.tripadvisor.fr/Hotel_Review-g187265-d232352-Reviews-Hotel_Le_Royal_Lyon_MGallery_Collection-Lyon_Rhone_Auvergne_Rhone_Alpes.html
18;Lyon;Globe et Cecil;4.0;738;https://www.tripadvisor.fr/Hotel_Review-g187265-d195625-Reviews-Globe_et_Cecil-Lyon_Rhone_Auvergne_Rhone_Alpes.html
19;Lyon;Novotel Lyon Gerland Musée des Confluences;4.0;1171;https://www.tripadvisor.fr/Hotel_Review-g187265-d197061-Reviews-Novotel_Lyon_Gerland_Musee_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html
20;Lyon;Hotel des Artistes;4.0;720;https://www.tripadvisor.fr/Hotel_Review-g187265-d195627-Reviews-Hotel_des_Artistes-Lyon_Rhone_Auvergne_Rhone_Alpes.html
21;Lyon;ResidHotel Lyon Part-Dieu;3.5;630;https://www.tripadvisor.fr/Hotel_Review-g187265-d265603-Reviews-ResidHotel_Lyon_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
22;Lyon;Ibis Budget Lyon Confluence;3.5;357;https://www.tripadvisor.fr/Hotel_Review-g187265-d7365860-Reviews-Ibis_Budget_Lyon_Centre_Confluence-Lyon_Rhone_Auvergne_Rhone_Alpes.html
23;Lyon;Hotel ibis Lyon Gerland Musée des Confluences;4.0;580;https://www.tripadvisor.fr/Hotel_Review-g187265-d197075-Reviews-Hotel_ibis_Lyon_Gerland_Musee_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html
24;Lyon;Ibis Lyon Part Dieu Les Halles;3.5;1956;https://www.tripadvisor.fr/Hotel_Review-g187265-d197074-Reviews-Ibis_Lyon_Part_Dieu_Les_Halles-Lyon_Rhone_Auvergne_Rhone_Alpes.html
25;Lyon;Radisson Blu Hotel, Lyon;4.0;1167;https://www.tripadvisor.fr/Hotel_Review-g187265-d472240-Reviews-Radisson_Blu_Hotel_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
26;Lyon;Hotel Lyon Metropole;4.0;1818;https://www.tripadvisor.fr/Hotel_Review-g187265-d232351-Reviews-Hotel_Lyon_Metropole-Lyon_Rhone_Auvergne_Rhone_Alpes.html
27;Lyon;Ibis Budget Lyon Centre - Gare Part Dieu;4.0;996;https://www.tripadvisor.fr/Hotel_Review-g187265-d2346264-Reviews-Ibis_Budget_Lyon_Centre_Gare_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
